Time,People_Count,Status
2026-02-02 10:10:37.290521,1,SAFE
2026-02-02 10:10:41.982374,1,SAFE
2026-02-02 10:10:51.711722,1,SAFE
2026-02-02 10:10:59.678763,0,SAFE
2026-02-02 10:11:00.241835,1,SAFE
2026-02-02 10:11:13.482946,1,SAFE
2026-02-02 10:11:18.968411,1,SAFE
2026-02-02 10:11:21.982537,1,SAFE
2026-02-02 10:11:29.061092,1,SAFE
2026-02-02 10:11:34.282770,1,SAFE
2026-02-02 10:11:40.165772,1,SAFE
2026-02-02 10:11:46.190873,1,SAFE
2026-02-02 10:11:56.318464,1,SAFE
2026-02-02 10:12:03.064864,1,SAFE
2026-02-02 10:12:08.300871,1,SAFE
2026-02-02 10:12:17.354813,1,SAFE
2026-02-02 10:12:20.492353,1,SAFE
2026-02-02 10:12:24.522610,1,SAFE
2026-02-02 10:12:26.532300,1,SAFE
2026-02-02 10:12:28.462123,1,SAFE
2026-02-02 10:12:30.118137,1,SAFE
2026-02-02 10:12:54.701613,1,SAFE
2026-02-02 10:13:33.069455,1,SAFE
2026-02-02 10:13:33.807142,1,SAFE
2026-02-02 10:13:40.849819,1,SAFE
2026-02-02 10:13:48.581541,1,SAFE
2026-02-02 10:13:57.916874,1,SAFE
2026-02-02 10:14:04.644146,1,SAFE
2026-02-02 10:14:12.102589,1,SAFE
2026-02-02 10:14:16.969707,1,SAFE
2026-02-02 10:14:17.999510,1,SAFE
2026-02-02 10:14:25.344903,1,SAFE
2026-02-02 10:14:34.067853,1,SAFE
2026-02-02 10:14:42.742377,1,SAFE
2026-02-02 10:14:47.755113,1,SAFE
2026-02-02 10:14:59.269632,1,SAFE
2026-02-02 10:15:06.667605,1,SAFE
2026-02-02 10:15:08.297067,1,SAFE
2026-02-02 10:15:18.562370,1,SAFE
2026-02-02 10:15:24.520019,1,SAFE
2026-02-02 10:15:29.216046,1,SAFE
2026-02-02 10:15:32.184586,1,SAFE
2026-02-02 10:15:42.759953,1,SAFE
2026-02-02 10:15:47.492566,1,SAFE
2026-02-02 10:15:51.974646,1,SAFE
2026-02-02 10:15:58.119890,0,SAFE
2026-02-02 10:15:58.311099,1,SAFE
2026-02-02 10:15:58.592371,1,SAFE
2026-02-02 10:16:24.653931,1,SAFE
2026-02-02 10:16:28.350382,0,SAFE
2026-02-02 10:16:28.863329,1,SAFE
2026-02-02 10:16:32.447925,1,SAFE
2026-02-02 10:16:33.294540,0,SAFE
2026-02-02 10:16:33.859348,1,SAFE
2026-02-02 10:16:57.910673,1,SAFE
2026-02-02 10:17:05.794038,1,SAFE
2026-02-02 10:17:06.717759,1,SAFE
2026-02-02 10:17:13.610973,1,SAFE
2026-02-02 10:17:13.958450,0,SAFE
2026-02-02 10:17:15.068851,1,SAFE
2026-02-02 10:18:01.112068,0,SAFE
2026-02-02 10:18:01.697678,1,SAFE
2026-02-02 10:18:02.094393,0,SAFE
2026-02-02 10:18:02.283945,1,SAFE
2026-02-02 10:18:02.372083,0,SAFE
2026-02-02 10:18:02.538693,1,SAFE
2026-02-02 10:18:04.101146,1,SAFE
2026-02-02 10:18:36.790997,1,SAFE
2026-02-02 10:18:37.952055,1,SAFE
2026-02-02 10:18:42.215292,1,SAFE
2026-02-02 10:18:47.369152,1,SAFE
2026-02-02 10:18:49.588316,1,SAFE
2026-02-02 10:19:17.280478,1,SAFE
2026-02-02 10:19:21.206145,1,SAFE
2026-02-02 10:19:22.317966,1,SAFE
2026-02-02 10:19:22.993842,1,SAFE
2026-02-02 10:19:27.388107,1,SAFE
2026-02-02 10:19:46.239686,0,SAFE
2026-02-02 10:19:46.870670,1,SAFE
2026-02-02 10:19:47.113682,1,SAFE
2026-02-02 10:19:47.900221,0,SAFE
2026-02-02 10:19:48.953307,1,SAFE
2026-02-02 10:20:02.725034,0,SAFE
2026-02-02 10:20:03.429325,0,SAFE
2026-02-02 10:20:03.433358,0,SAFE
2026-02-02 10:20:03.513838,0,SAFE
2026-02-02 10:20:03.586348,0,SAFE
2026-02-02 10:20:03.720049,0,SAFE
2026-02-02 10:20:03.854142,0,SAFE
2026-02-02 10:20:07.583077,0,SAFE
2026-02-02 10:20:07.962290,0,SAFE
2026-02-02 10:20:08.104382,0,SAFE
2026-02-02 10:20:08.605965,0,SAFE
2026-02-02 10:20:09.200742,0,SAFE
2026-02-02 10:20:27.942637,1,SAFE
2026-02-02 10:20:31.668888,1,SAFE
2026-02-02 10:20:32.230536,0,SAFE
2026-02-02 10:20:32.233542,0,SAFE
2026-02-02 10:20:32.352013,0,SAFE
2026-02-02 10:20:32.803931,1,SAFE
2026-02-02 10:21:17.335429,2,SAFE
2026-02-02 10:21:18.215208,1,SAFE
2026-02-02 10:21:18.338726,0,SAFE
2026-02-02 10:21:18.600114,1,SAFE
2026-02-02 10:21:19.024259,0,SAFE
2026-02-02 10:21:19.339409,1,SAFE
2026-02-02 10:22:34.979606,0,SAFE
2026-02-02 10:22:34.977580,0,SAFE
2026-02-02 10:22:34.989955,0,SAFE
2026-02-02 10:22:34.994121,0,SAFE
2026-02-02 10:22:35.921504,0,SAFE
2026-02-02 10:22:36.325113,0,SAFE
2026-02-02 10:22:36.373487,1,SAFE
2026-02-02 10:22:36.554049,2,SAFE
2026-02-02 10:22:36.705606,1,SAFE
2026-02-02 10:22:39.615425,1,SAFE
2026-02-02 10:22:39.952494,2,SAFE
2026-02-02 10:22:47.939139,1,SAFE
2026-02-02 10:22:57.871285,1,SAFE
2026-02-02 10:22:58.832809,1,SAFE
2026-02-02 10:22:59.542423,1,SAFE
2026-02-02 10:23:02.508240,1,SAFE
2026-02-02 10:23:05.001064,1,SAFE
2026-02-02 10:23:12.216590,1,SAFE
2026-02-02 10:23:23.062566,1,SAFE
2026-02-02 10:23:24.885256,1,SAFE
2026-02-02 10:23:25.401315,1,SAFE
2026-02-02 10:23:27.728020,1,SAFE
2026-02-02 10:23:28.373138,0,SAFE
